iyear,local_datetime,location_street_address,location_city_name,location_county_name,name,narrative,fatal,injure,ignite_ind,date
2019,2019-05-21T16:00:00Z,3369 ANTIGUA,AUBURN HILLS,OAKLAND,CONSUMERS ENERGY CO,"ON MAY 21, 2019 AT APPROXIMATELY 16:00 HOURS A CONSUMERS ENERGY DISTRIBUTION CREW DAMAGED A 2"" PLASTIC MEDIUM PRESSURE NATURAL GAS PIPELINE DURING A PIPELINE LOWERING PROJECT. THE PIPELINE IS LOCATED NEAR 3369 ANTIGUA DRIVE, AUBURN HILLS, MICHIGAN (OAKLAND COUNTY). THE INCIDENT WAS REPORTED TO THE NRC AND MPSC AS 3355 KASSANDRA WAY, AUBURN HILLS, MICHIGAN PER CONSUMERS ENERGY'S SIMS RECORD(SERVICE CARD RECORD).    WHILE ATTEMPTING  TO EXPOSE THE PIPELINE DAMAGE, THE OPERATOR MADE CONTACT WITH THE ELECTRIC SERVICE LINE (LOCATED IN A JOINT TRENCH WITH APPROXIMATELY 19.5"" SEPARATION) CAUSING THE BLOWING GAS TO IGNITE. THE EMPLOYEE OPERATING THE EXCAVATION EQUIPMENT WAS INJURED AND THE EQUIPMENT AND BUILDING UNDER CONSTRUCTION WERE SIGNIFICANTLY DAMAGED BY FIRE.      A GAS SERVICE WORKER (GSW) ARRIVED AT APPROXIMATELY 16:19 HOURS AND BEGAN MONITORING THE SURROUNDING BUILDING FOR GAS MIGRATION.  THE GSW'S CONTINUOUSLY MONITORED THE SITE UNTIL THE FIRE WAS EXTINGUISHED AND THE PIPELINE WAS CAPPED.    THE DISTRIBUTION CREW ARRIVED AT APPROXIMATELY 17:18 HOURS, THE PIPELINE WAS SQUEEZED AT TWO REMOTE LOCATIONS STOPPING GAS FROM BLOWING.  ONCE THE FIRE WAS EXTINGUISHED, THE PIPELINE WAS CUT AND CAPPED AND THE AREA WAS SECURED FOR FURTHER INVESTIGATION.     ON MAY 22, 2019 A CREW RETURNED TO THE ANTIGUA LOCATION TO REMOVE THE DAMAGED PORTION OF THE PIPELINE AND THE EXCAVATING EQUIPMENT.  THE DAMAGED PORTION OF THE PIPE WAS TRANSPORTED TO THE CONSUMERS ENERGY ROYAL OAK SERVICE CENTER AND STORED IN A SECURE LOCATION FOR FUTURE INVESTIGATION.    THE DAMAGED SECTION OF PIPELINE WAS REPLACED BY INSTALLING (OPEN TRENCHING) 208' OF 2"" PLASTIC PIPELINE AT THE APPROPRIATE DEPTH.  NORMAL OPERATIONS RESUMED ON MAY 24, 2019 AT APPROXIMATELY 16:00 HOURS.    AN RCA TEAM WAS ASSEMBLED TO INVESTIGATE THE DETAILS OF THE INCIDENT, DETERMINE THE ROOT CAUSE AND/OR CONTRIBUTING FACTORS AND IMPLEMENT MEASURES TO PREVENT FUTURE OCCURRENCES.  THE RESULTS OF THE INVESTIGATION WILL BE PROVIDED TO THE MICHIGAN PUBLIC SERVICE COMMISSION (MPSC) UPON COMPLETION.",0,1,YES,2019-05-21
2019,2019-03-09T11:58:00Z,PARKDALE AVENUE AND MILLER AVENUE,ROCHESTER,OAKLAND,CONSUMERS ENERGY CO,"ON MARCH 9, 2019 AT APPROXIMATELY 11:58 HOURS CONSUMERS ENERGY WAS NOTIFIED OF AN ODOR OF GAS BY THE PROPERTY OWNER AT 712 PARKDALE AVENUE, ROCHESTER (OAKLAND COUNTY) MICHIGAN.     A GAS SERVICE WORKER (GSW) ARRIVED AT THE PROPERTY AT APPROXIMATELY 12:33 HOURS AND BEGAN PERFORMING A LEAK INVESTIGATION.  READINGS WERE DISCOVERED (1.5% LEL) INSIDE THE HOME AT OR NEAR THE FLOOR DRAIN.  THE GSW EXPANDED THE LEAK INVESTIGATION AND DISCOVERED 30% GAS READS AT THE SEWER.  THE GSW REQUESTED ADDITIONAL ASSISTANCE AND CONTINUED THE INVESTIGATION TO IDENTIFY THE SOURCE OF GAS.    ADDITIONAL RESOURCES ARRIVED TO ASSIST WITH INVESTIGATING NEARBY HOMES AND SEWERS.  INITIAL READS DISCOVERED DURING THE LEAK INVESTIGATION WERE AS FOLLOWS:    712 PARKDALE, 615 PARKDALE AND 815 MILLER HAD LOW READS RANGING FROM 0.5% TO 1.5% LEL. 702 PARKDALE HAD 30% LEL AND 703 PARKDALE HAD 9% LEL IN THE HOME.    PER PROCEDURES, BOTH 702 AND 703 WERE EVACUATED AND DISPATCH NOTIFIED LOCAL UTILITY TO DE-ENERGIZE 702 AND 703 PARKDALE.     OUTSIDE GAS READS WERE ALSO DISCOVERED AT THE WALL OF BOTH 702 PARKDALE AVE. (90%) AND 703 PARKDALE AVE. (100%).      CONSUMERS ENERGY EMPLOYEES CONTINUED TO PERFORM LEAK PINPOINTING AND CONTINUOUS MONITORING OF THE LOCATION UNTIL THE SOURCE OF GAS WAS IDENTIFIED.  THE SOURCE OF GAS WAS DISCOVERED ON MARCH 10, 2019 AT APPROXIMATELY 21:45 HOURS AND WAS DETERMINED TO BE A CORROSION LEAK ON A 6"" STEEL END CAP AT THE INTERSECTION OF PARKDALE AVENUE AND MILLER AVENUE.  THE LEAK WAS CONTAINED BY INSTALLING A TEMPORARY PLUG AND CE EMPLOYEES REMAINED ON SITE TO MONITOR UNTIL A PERMANENT REPAIR WAS COMPLETED     THE END CAP WAS REPLACED ON MARCH 11, 2019 AT APPROXIMATELY 12:00 HOURS AND SERVICE WAS RESTORED TO 702 AND 703 PARKDALE AVENUE AT APPROXIMATELY 16:00 HOURS.    GAS SERVICE CONTINUED TO MONITOR THE AREA UNTIL GAS READS IN THE HOUSES, OUTSIDE AERATION SPOTS AND SEWER MAINTAINED ZERO ON MARCH 14, 2019 AT APPROXIMATELY 15:07 HOURS.",0,0,NO,2019-03-09
2019,2019-02-02T22:54:00Z,406 IRWIN AVENUE,PONTIAC,OAKLAND,CONSUMERS ENERGY CO,"ON FEBRUARY 2, 2019 AT APPROXIMATELY 22:54 HOURS A HOME EXPLOSION AND SUBSEQUENT FIRE OCCURRED AT 406 IRWIN AVENUE, PONTIAC, MICHIGAN (OAKLAND COUNTY).  A MALE OCCUPANT WAS INJURED IN THE EXPLOSION AND TRANSPORTED TO THE LOCAL HOSPITAL.  THE HOME WAS A COMPLETE LOSS WITH AN ESTIMATED VALUE OF APPROXIMATELY $59,400.    PRIOR TO THE EXPLOSION, AT APPROXIMATELY 21:45 HOURS CONSUMERS ENERGY RECEIVED AND RESPONDED TO AN OUTSIDE LEAK INVESTIGATION AT 443 SOUTH BOULEVARD, PONTIAC, MI.  THE GAS SERVICE WORKER (GSW) ARRIVED ONSITE AT APPROXIMATELY 22:18, HEARD BLOWING GAS AT/NEAR THE SERVICE TEE AND REQUESTED A DISTRIBUTION CREW. THE GSW ALSO OBTAINED 6% FREE AIR READS AT THE PROPERTY ENTRANCE AND ADVISED THE OCCUPANTS NOT TO RE-ENTER THE HOME.      WHILE CONTINUING TO INVESTIGATE THE AREA, THE GSW HEARD WHAT HE BELIEVED MAY HAVE BEEN AN EXPLOSION NEARBY (APPROXIMATELY 500 FEET FROM THE SOUTH BLVD. LOCATION) AND NOTIFIED HIS FIELD LEADER.    FURTHER INVESTIGATION OF THE AREA DETERMINED GAS READS (APPROXIMATELY 55% GAS) IN THE SANITARY SEWER SYSTEM LOCATED APPROXIMATELY 73 FEET WEST OF THE SEWER LEAD SERVING 406 IRWIN AVE.  GAS READS WERE ALSO OBTAINED AT 398 IRWIN AVE. RESULTING IN AN EVACUATION OF THE OCCUPANT AT THIS PROPERTY. (FOLLOWING ADDITIONAL INVESTIGATION, THE SEWER LEAD FOR 406 IRWIN AVENUE WAS LATER DETERMINED TO BE SOUTH OF THE SANITARY SEWER LOCATED AT THE INTERSECTION OF GOING STREET AND IRWIN AVENUE)    THE DISTRIBUTION CREW ARRIVED ON FEBRUARY 3, 2019 AT APPROXIMATELY 00:35 HOURS.  THE SOURCE OF THE BLOWING GAS WAS DETERMINED TO BE A LEAK ON THE 3/4 INCH PIPE THREAD THAT TIED INTO THE HIGH PRESSURE REGULATOR.  THE SERVICE LINE, REGULATOR AND SECURITY WERE REPLACED AND GAS READS BEGAN TO DISSIPATE FROM THE SANITARY SEWER.    ON FEBRUARY 20, 2019 THE INTERESTED PARTIES MET ON-SCENE TO CONDUCT A JOINT SCENE INVESTIGATION.  THE PARTIES AGREED THE CURRENT WEATHER CONDITIONS AND THE STRUCTURAL INTEGRITY OF THE PROPERTY MADE IT UNSAFE TO PROCEED FORWARD WITH THE INVESTIGATION.  THE JOINT SCENE INVESTIGATION WAS POSTPONED FOR APPROXIMATELY 30 DAYS.    UNTIL A FULL ON-SCENE INVESTIGATION CAN BE COMPLETED THE CAUSE AND ORIGIN REMAINS CLASSIFIED AS UNDETERMINED.      ON MARCH 25, 2019 A JOINT SCENE INVESTIGATION WAS PERFORMED, THE LOCATION WAS CAREFULLY EXCAVATED AND ALL GAS APPLIANCES WERE REMOVED AND TRANSPORTED TO THE SAFETY ENGINEERING LABORATORIES, INC. (SEL) FOR FUTURE INVESTIGATION AND TESTING.    THE FOLLOWING DAY, MARCH 26, 2019 DESTRUCTIVE TESTING FOR THE FAILURE THAT OCCURRED ON THE BURIED REGULATOR LOCATED AT 443 SOUTH BOULEVARD WAS PERFORMED AT THE CONSUMERS ENERGY TRAIL STREET LABORATORY.      ON APRIL 10, 2019 A JOINT SCENE EXAM WAS HELD WITH CONSUMERS ENERGY, SEL AND THE MPSC.  THE BASEMENT OF THE RESIDENCE WAS EXCAVATED AND WATER DRAINED IN THE ATTEMPT TO LOCATE, TRACE AND VIDEO (PHOTOGRAPH) THE SEWER LINE FROM THE INSIDE OF THE HOME TO THE SANITARY SEWER UNDER THE ROADWAY.  DURING THE INVESTIGATION, A HOLE (APPROXIMATELY 4X4) CUT INTO THE TOP OF THE METAL SEWER LINE IN THE BASEMENT BEFORE THE SEWER TRAP WAS DISCOVERED.  THE SEWER LINE ALSO RAN INTO A REPAIRED SINKHOLE AREA ON GOINGS INSTEAD OF IRWIN AS PREVIOUSLY DESCRIBED BY THE CITY OF PONTIAC WATER DEPARTMENT EMPLOYEE FROM AN EARLIER INVESTIGATION.    FOLLOWING A SERIES ON INVESTIGATIVE ACTIVITIES, IT HAS BEEN DETERMINED THE PROBABLE CAUSE OF THE EXPLOSION WAS THE IGNITION OF NATURAL GAS.  THE IGNITION SOURCE REMAINS UNDETERMINED.  ADDITIONALLY, THE CAUSE OF THE EXPLOSION REMAINS UNCONFIRMED DUE TO THE LACK OF COOPERATION BY THE LEGAL REPRESENTATIVE FOR THE PROPERTY'S RESIDENT.",0,1,YES,2019-02-02
2018,2018-11-29T17:55:00Z,BELLE ISLE DOUGLAS MACARTHUR BRIDGE,DETROIT,WAYNE,DTE GAS COMPANY,DTE GAS' DISPATCH WAS INFORMED OF DTE ELECTRIC CONTRACTOR BORED THRU 4 INCH - 50LB STEEL MAIN (1WAY FEED) HIT IN THE MIDDLE OF THE MAIN ON BELLE ISLE KNOCKING OUT THE GAS FOR THE ENTIRE ISLAND.,0,0,NO,2018-11-29
2018,2018-11-19T11:34:00Z,25900 NORTHWESTERN HIGHWAY,SOUTHFIELD,OAKLAND,CONSUMERS ENERGY CO,"ON NOVEMBER 19, 2018 AT APPROXIMATELY 11:34 HOURS A THIRD PARTY CONTRACTOR SAW CUTTING THE ROAD DAMAGED AN 8"" STEEL (HIGH PRESSURE) PIPELINE CAUSING GAS TO BE RELEASED.  THE PIPELINE DEPTH WHEN THE DAMAGE OCCURRED WAS APPROXIMATELY 9"". THE DAMAGE PORTION OF THE PIPELINE WAS APPROXIMATELY .25"" X 1.75"". THE PIPELINE IS LOCATED ON NORTHWESTERN HIGHWAY AND CIVIC CENTER DRIVE, SOUTHFIELD, MICHIGAN (OAKLAND COUNTY)    THE CONTRACTOR RECOGNIZED CONTACT HAD BEEN MADE WITH THE PIPELINE, SHUT-OFF THE EQUIPMENT AND CONTACTED CONSUMERS ENERGY OF THE DAMAGE.  NO IGNITION, INJURIES OR FATALITIES OCCURRED AS A RESULT OF THE DAMAGE.    CONSUMERS ENERGY PERSONNEL ARRIVE ONSITE AT APPROXIMATELY 12:09 HOURS AND BEGAN MONITORING SURROUNDING LOCATIONS TO ENSURE GAS WAS NOT MIGRATING.  A PORTION OF THE ROAD WAS CLOSED TO ENSURE THE SAFETY OF MOTORIST.    ON NOVEMBER 20, 2018 AT APPROXIMATELY 20:35 HOURS THE DAMAGED SECTION OF PIPELINE WAS ISOLATED UTILIZING MUELLER CONTROL FITTING TO THE NORTH AND SOUTH OF THE DAMAGE LOCATION.  A WELDED SPLIT SLEEVE WAS INSTALLED TO PERMANENTLY REPAIR THE DAMAGE AND NORMAL OPERATIONS RESUMED AT APPROXIMATELY 23:40.    ONE CUSTOMER WAS IMPACTED BY THE PIPELINE DAMAGE AND THE SERVICE WAS RESTORE IMMEDIATELY FOLLOWING THE REPAIR.",0,0,NO,2018-11-19
2018,2018-10-30T09:57:00Z,19366 WALTZ,NEW BOSTON,WAYNE,DTE GAS COMPANY,"DTE GAS WAS NOTIFIED AT 9:57AM ON 10/30/18 OF A 3RD PARTY DAMAGE AT 19366 WALTZ IN NEW BOSTON, MICHIGAN. DTE GAS CREW ARRIVED ON-SITE AT 10:05AM. THE 3RD PARTY DAMAGE WAS TO A 6-INCH PLASTIC MAIN OPERATING AT 45 PSIG IN THE HURON RIVER. THE MPSC WAS NOTIFIED ON 10/30/18 OF THE INCIDENT.THE MAIN WAS TEMPORARILY REPAIRED ON 10/30/18 UNTIL THE PERMANENT REPAIR CAN BE MADE.  IT WAS LATER DETERMINED THAT THE INCIDENT WAS GOING TO BE REPORTABLE TO THE NRC AND NOTIFICATIONS WAS MADE ON 1/4/19.",0,0,NO,2018-10-30
2018,2018-06-19T17:00:00Z,WALTON BOULEVARD & E. OAKLAND,ROCHESTER HILLS,OAKLAND,CONSUMERS ENERGY CO,"ON JUNE 19, 2018 AT APPROXIMATELY 17:00 A THIRD PARTY CONTRACTOR INSTALLING STEEL SHEET PILING FOR SHORING, DAMAGED AN 8"" PLASTIC (MEDIUM PRESSURE) PIPELINE CAUSING GAS TO BE RELEASED.  THE PIPELINE IS LOCATED ON WALTON BOULEVARD, ROCHESTER HILLS, MICHIGAN (OAKLAND COUNTY).    THE CONTRACTOR RECOGNIZED CONTACT HAD BEEN MADE WITH THE PIPELINE, EXITED THE EQUIPMENT AND IMMEDIATELY NOTIFIED CONSUMERS ENERGY OF THE DAMAGE. NO IGNITION, INJURIES OR FATALITIES OCCURRED AS A RESULT OF THE DAMAGE.    CONSUMERS PERSONNEL ARRIVED ONSITE AT APPROXIMATELY 17:53 AND BEGAN MONITORING SURROUND LOCATIONS TO ENSURE GAS WAS NOT MIGRATING.  A PORTION OF THE ROAD WAS CLOSED AND THE DAMAGE AND SURROUNDING LOCATIONS WERE CONTINUOUSLY MONITORED UNTIL THE PIPELINE WAS ISOLATED AND THE GAS WAS SHUT-OFF .    ON JUNE 20, 2018 AT APPROXIMATELY 04:56 THE DAMAGED SECTION OF PIPELINE WAS ISOLATED BY SQUEEZING THE 8"" PLASTIC PIPELINE IN TWO REMOTE LOCATIONS AND INSTALLING PLASTIC CAPS AT EACH END.      PERMANENT REPAIR TO THE PIPELINE SEGMENT WAS DELAYED UNTIL THE CULVERT WORK WAS COMPLETED.  ON NOVEMBER 15, 2018 APPROXIMATE 500 FEET OF 8"" PLASTIC PIPELINE WAS INSTALL REPAIRING THE DAMAGE SEGMENT AND NORMAL OPERATIONS WERE RESUMED.",0,0,NO,2018-06-19
2018,2018-05-29T18:04:00Z,44600 FIVE MILE ROAD,NORTHVILLE,WAYNE,CONSUMERS ENERGY CO,"ON MAY 29, 2018 AT APPROXIMATELY 18:04 A THIRD PARTY CONTRACTOR INSTALLING EDGE DRAIN MADE CONTACT WITH A 1"" HIGH PRESSURE NATURAL GAS SERVICE LINE PULLING THE SERVICE TEE OFF AN 8"" STEEL (HIGH PRESSURE)  PIPELINE CAUSING GAS TO BE RELEASED.  THE PIPELINE IS LOCATED ON FIVE MILE ROAD, NORTHVILLE, MICHIGAN (WAYNE COUNTY).      THE CONTRACTOR RECOGNIZED CONTACT HAD BEEN MADE WITH THE PIPELINE, EXITED THE EQUIPMENT AND IMMEDIATELY NOTIFIED CONSUMERS ENERGY OF THE DAMAGE.  NO IGNITION, INJURIES OR FATALITIES OCCURRED AS A RESULT OF THE DAMAGE.     CONSUMERS PERSONNEL ARRIVED ONSITE AT APPROXIMATELY 18:37 AND BEGAN MONITORING SURROUNDING LOCATIONS TO ENSURE GAS WAS NOT MIGRATING.  A PORTION OF THE ROAD WAS CLOSED AND THE DAMAGED LOCATION AND SURROUNDING BUILDINGS WERE CONTINUOUSLY MONITORED UNTIL THE PIPELINE WAS ISOLATED AND THE GAS WAS SHUT-OFF.     ON MAY 30, 2018 AT APPROXIMATELY 13:25 THE DAMAGED SECTION OF PIPELINE WAS ISOLATED BY UTILIZING  A MUELLER CONTROL FITTING WEST OF THE DAMAGE AND CLOSING THE VALVE TO THE EAST OF THE DAMAGE LOCATION.      APPROXIMATELY 3' OF 8"" PIPE WAS CUT-OUT AND REPLACED, A NEW SERVICE TEE WAS INSTALLED AND APPROXIMATELY 11' OF SERVICE LINE REPLACE TO REPAIR THE DAMAGE AND RESUME NORMAL OPERATIONS.",0,0,NO,2018-05-29
2018,2018-05-12T05:00:00Z,4695 W JEFFERSON,TRENTON,WAYNE COUNTY,DTE GAS COMPANY,"DTE GAS RECEIVED A CALL FROM TRENTON FIRE DEPARTMENT OF A VEHICLE HIT OF A GAS LINE AT 6:12AM. DTE GAS WAS ONSITE AT 6:51PM. ONCE DTE GAS FIRST RESPONDERS WERE ON SEEN IT WAS CONFIRMED THAT A DRIVER HAD HIT THE HIGH-HEAD EXTENSION AT THE LOCATION. THERE WAS A LEAK AS A RESULT OF THE INCIDENT. THE DRIVER WAS TAKEN TO THE HOSPITAL AND DRUG & ALCOHOL TESTING WAS PERFORMED. RESULT. THIS LEAK IMPACTED 3 BUSINESSES. THE MPSC WAS CONTACTED AT 11:33AM ONCE IT WAS REALIZED THAT THE REPAIR WAS GOING TO BE APPROXIMATELY $10,000. GAS WAS OFF AT 15:03PM ON 5/12/18 WITH A RELEASE OF GAS OF 13 MCF. ON AUGUST 3RD, 2018, THE REPAIR COST REPORT WAS RECEIVED AND WAS $96,988. THE NRC WAS CONTACTED AT ON 8/3/18 AT 10:33AM TO REPORT THE INCIDENT BASED ON COST TO THE OPERATOR.",0,1,NO,2018-05-12
2018,2018-04-27T14:56:00Z,58 BOBOLINK STREET,ROCHESTER HILLS,OAKLAND,CONSUMERS ENERGY CO,"ON FRIDAY, APRIL 27, 2018 AT APPROXIMATELY 14:46 A CONSUMERS ENERGY GAS SERVICE WORKER ARRIVED AT 58 BOBOLINK STREET, ROCHESTER HILLS, MI TO PERFORM A ROUTINE METER EXCHANGE.      WHILE ATTEMPTING TO REMOVE THE EXISTING METER USING WRENCHING TOOLS, THE GSW HEARD HISSING AND NOTICED THE RISER HAD BEEN COMPROMISED AND GAS WAS ESCAPING.    THE EMPLOYEE RETURNED TO HIS VEHICLE AND NOTIFIED GAS DISPATCH A DISTRIBUTION CREW  WAS NEEDED.  HE ALSO NOTIFIED HIS FIELD LEADER.    UPON RETURN TO THE METER LOCATION THE GSW OBSERVED FIRE AT THE RESIDENCE. HE IMMEDIATELY EVACUATED THE RESIDENTS FROM A NEIGHBORING HOME AND ADVISED DISPATCH THE ESCAPING GAS HAD IGNITED AND FIRE PERSONNEL WAS NEEDED ONSITE.    THE GAS DISTRIBUTION CREW ARRIVED AT APPROXIMATELY 15:31,  EXCAVATED A REMOTE HOLE NEAR THE DISTRIBUTION PIPELINE AND SQUEEZED THE 1/2"" STEEL SERVICE LINE STOPPING THE BLOWING GAS AT APPROXIMATELY 16:25.    A ROOT CAUSE ANALYSIS TEAM HAS BEEN ASSEMBLED TO INVESTIGATE THE FAILURE, IDENTIFY A ROOT CAUSE(S) AND DEVELOP COUNTERMEASURE(S) TO MINIMIZE RE-OCCURRENCE.      THE INVESTIGATION WAS COMPLETED AND THE ROOT CAUSE WAS DETERMINED TO BE THE CORROSIVE CONDITION OF THE METER AND THE EMPLOYEE'S FAILURE TO RECOGNIZE THE METER CONDITION AND TAKE ADEQUATE PRECAUTIONS TO ELIMINATE THE POTENTIAL FOR A GAS RELEASE.    COUNTERMEASURES TO MINIMIZE FUTURE OCCURRENCE INCLUDE A GAS SERVICE MANUAL REVISION REQUIRING EMPLOYEES TO INSPECT THE RISER CONDITION BEFORE REPLACING THE GAS METER AND ACTIONS TO BE TAKEN WHEN ATMOSPHERIC CORROSION IS IDENTIFIED TO AVOID DAMAGE THAT MAY RESULT IN A RELEASE OF GAS.",0,0,YES,2018-04-27
2017,2017-09-28T03:45:00Z,20058 MONICA STRRET,DETROIT,WAYNE COUNTY,DTE GAS COMPANY,DETROIT FIRE AND ARSON HAS COMPLETED ITS INVESTIGATION. THE CAUSE OF THE EXPLOSION AND FIRE REMAINS UNKNOWN.,0,0,YES,2017-09-28
2017,2017-01-19T13:29:00Z,1974 E MILWAUKEE AVENUE,DETROIT,WAYNE,DTE GAS COMPANY,"A CONTRACTOR INSTALLING TELECOMMUNICATIONS CABLE BY DIRECTIONAL DRILLING STRUCK AND PUNCTURED A 12-INCH CAST IRON MAIN OPERATING AT 10 PSIG APPROX. 280 FEET WEST OF EAST GRAND BLVD.  INVESTIGATION REVEALED THE MAIN TO HAVE BEEN CORRECTLY MARKED IN RESPONSE TO THE CONTRACTOR'S MARK-OUT REQUEST; HOWEVER, THERE WAS NO EVIDENCE OF POTHOLING OR OTHER METHOD HAVING BEEN USED TO VERIFY THE LOCATION AND DEPTH OF THE MAIN.  RESPONSE BY DTE GAS ON 1/19/2017 FROM THE TIME OF THE CONTRACTOR'S DAMAGE REPORT UNTIL ARRIVAL ON THE SCENE TOOK 23 MINUTES.  INITIAL CONTROL OF GAS FROM THE BREAK OCCURRED AT 03:17 ON 1/20/2017; HOWEVER, THE SHUT-OFF WAS NOT MAINTAINED AND FURTHER WORK WAS REQUIRED UNTIL, AT 11:00 ON 1/20/2017, THE SITUATION WAS MADE SAFE AND WORK PROCEEDED ON MAKING REPAIRS.  ESTIMATES OF REPAIR AND LABOR COSTS ALREADY EXPENDED ALONG WITH COSTS FOR REMAINING REPAIR AND RECOVERY WORK WERE DETERMINED AT 16:18 ON 1/20/2017 TO LIKELY EXCEED THE $50,000 REPORTING THRESHOLD; TELEPHONIC NOTICE WAS THEN MADE TO THE NATIONAL RESPONSE CENTER.  REPLACEMENT OF A 15-FOOT SECTION OF 12-INCH CAST IRON MAIN WITH NEW 8-INCH POLYETHYLENE PIPE WAS COMPLETED AT 18:30 ON 1/20/2017, AND REGULAR OPERATION RESUMED.  THERE WAS NO INTERRUPTION OF SERVICE TO CUSTOMERS DURING THE EVENT.    NOTE: THE ACTUAL TICKET NUMBER RECEIVED FROM OUR STATE ONE-CALL SYSTEM WAS B63371000. THE PHMSA FORM DOES NOT ALLOW ALPHABETIC CHARACTERS.",0,0,NO,2017-01-19
2016,2016-07-06T18:11:00Z,101 W. MARGARET,DETROIT,WAYNE COUNTY,DTE GAS COMPANY,"ON JULY 6, 2016 AT 18:11 DTE GAS WAS NOTIFIED FROM 911 OF AN EXPLOSION AT 101 W. MARGARET IN DETROIT, MI.  THE DTE GAS SERVICE TECHNICIAN ARRIVED ONSITE AT 18:32. WHEN THE SERVICES TECHNICIAN ARRIVED, HE REPORTED THAT THE FIRE HAD  SPREAD AN ADJACENT HOMES. DTE GAS COORDINATED WITH FIRST RESPONDERS TO CONTAIN THE INCIDENT BY  DISCONNECTING THE GAS SERVICES AT THE GAS MAIN.  A NATURAL GAS LEAK INVESTIGATION WAS CONDUCTED AND NO NATURAL GAS LEAKS WERE DETECTED. THERE WAS ONE INJURY TO THE OCCUPANT AT 101 W. MARGARET. DTE GAS WAS UNABLE TO RETRIEVE THE GAS METER ASSEMBLY BECAUSE THE DEMOLITION CONTRACTOR PERFORMED THE DEMOLITION WITHOUT CONTACTING DTE GAS AS REQUESTED. DTE GAS HAS COMPLETED ITS INVESTIGATION AND HAVE DETERMINED THE CAUSE AS ""UNKNOWN"". ACCORDING TO DETROIT FIRE DEPARTMENT ARSON UNIT, THE CAUSE OF THE EXPLOSION IS UNKNOWN. SEVERAL ATTEMPTS BY DETROIT FIRE DEPARTMENT ARSON UNIT WERE MADE TO TALK TO THE CUSTOMER WHO WAS HOME AT THE TIME OF THE EXPLOSION, HOWEVER, HE WAS UNRESPONSIVE WHILE IN THE HOSPITAL. I AM TOLD THE CUSTOMER WAS RELEASED AFTER SEVERAL WEEKS IN THE HOSPITAL AND INVESTIGATORS HAVE NOT BEEN ABLE TO LOCATE HIM TO CONDUCT THEIR FOLLOW UP.",0,1,YES,2016-07-06
2016,2016-07-02T03:03:00Z,3900 GREENFIELD,MELVINDALE,WAYNE COUNTY,DTE GAS COMPANY,"ON JULY 2, 2016 AT 02:59 DTE GAS WAS NOTIFIED OF A FIRE FROM THE MELVINDALE FIRE DEPARTMENT AT 3900 GREENFIELD IN MELVINDALE, MI.  THE DTE GAS SERVICE TECHNICIAN TEAM ARRIVED ONSITE AT 03:10 AND IT WAS CONFIRMED THAT A VEHICLE HAD HIT ABOVE GROUND PIPING OF A  3"" NIPPLE ON A BLOW-OFF  WHICH LEAD TO A RUPTURE OF A 30-INCH PIPELINE OPERATING AT 540 PSIG AT THE DTE GAS RIVER ROUGE FACILITY. DTE GAS COORDINATED WITH FIRST RESPONDERS TO CONTAIN THE INCIDENT. IT WAS DETERMINED THAT THE VEHICLE CROSSED THROUGH THE STATION YARD AND STRUCK THE 3"" NIPPLE ON A BLOW-OFF, THE LEAKING GAS DID IGNITE WHICH CAUSE THE 30-INCH PIPELINE RUPTURE. THERE WAS ONE INJURY TO THE DRIVER. THE DRIVER APPEARS TO HAVE BEEN INTOXICATED PRIOR TO THE VEHICLE STRIKING THE 3"" NIPPLE ON A BLOW-OFF. DTE GAS CONTROL WAS ABLE TO CLOSE THE REMOTE VALVE AND THE LEAKING GAS WAS STOPPED. AS A RESULT OF THE INCIDENT, OAKWOOD HOSPITAL, DEARBORN INDUSTRIAL GENERATION AND MARATHON DETROIT REFINERY WERE WITHOUT HIGH PRESSURE GAS. OAKWOOD HOSPITAL WAS RETURN TO SERVICE ON AFTERNOON OF JULY 2, 2016. DEARBORN INDUSTRIAL GENERATION AND MARATHON DETROIT REFINERY WERE RETURNED TO SERVICE AT 12 NOON ON JULY 12, 2016. REMEDIATION OF THE RIVER ROUGE GAS FACILITY WAS COMPLETED IN SEPTEMBER OF 2016 .",0,1,YES,2016-07-02
2016,2016-06-10T17:01:00Z,6800 GRATIOT,DETROIT,WAYNE COUNTY,DTE GAS COMPANY,"ON JUNE 10, 2016 AT 17:01 DTE GAS WAS NOTIFIED FROM 911 THAT A VEHICLE HIT A COMMERCIAL BUILDING AT 6800 GRATIOT IN DETROIT, MI.  THE DTE GAS SERVICE TECHNICIAN ARRIVED ONSITE AT 17:36 AND IT WAS CONFIRMED THAT A VEHICLE HAD HIT THE VACANT COMMERCIAL BUILDING  DAMAGING THE OUTSIDE GAS METER. THIS RESULTED IN A RELEASE OF NATURAL GAS. DTE GAS COORDINATED WITH FIRST RESPONDERS TO CONTAIN THE INCIDENT. LEAKING GAS DID IGNITE, AND THERE WAS ONE INJURY TO THE DRIVER. THE SERVICE LINE TO THIS BUILDING WAS DISCONNECTED FROM THE MAIN AND IS NOT IN SERVICE.",0,1,YES,2016-06-10
